SourceSite;TravelTime in sec;DestinationSite
STO_018;1856;STO_030
STO_018;2245;STO_031
STO_018;1576;STO_032
STO_018;1392;STO_033
STO_018;1323;STO_034
STO_018;713;STO_035
STO_018;1861;STO_036
STO_018;1702;STO_037
STO_018;1324;STO_038
STO_018;1549;STO_039
STO_018;638;STO_040
STO_018;1356;STO_041
STO_018;1525;STO_042
STO_018;1022;STO_043
STO_018;2064;STO_044
STO_018;1237;STO_045
STO_018;1220;STO_046
STO_018;1256;STO_047
STO_018;1672;STO_048
STO_019;2528;HUB_001
STO_019;1267;STO_002
STO_019;3302;STO_003
STO_019;969;STO_004
STO_019;1766;STO_005
STO_019;1290;STO_006
STO_019;1788;STO_007
STO_019;1733;STO_008
STO_019;1096;STO_009
STO_019;1903;STO_010
STO_019;3270;STO_011
STO_019;1478;STO_012
STO_019;2488;STO_013
STO_019;3515;STO_014
STO_019;3405;STO_015
STO_019;506;STO_016
STO_019;2576;STO_017
STO_019;1766;STO_018
STO_019;0;STO_019
STO_019;1067;STO_020
STO_019;770;STO_021
STO_019;464;STO_022
STO_019;2456;STO_023
STO_019;1195;STO_024
STO_019;1591;STO_025
STO_019;3327;STO_026
STO_019;1619;STO_027
STO_019;2772;STO_028
STO_019;3918;STO_029
STO_019;3413;STO_030
STO_019;957;STO_031
STO_019;1599;STO_032
STO_019;1833;STO_033
STO_019;912;STO_034
STO_019;1146;STO_035
STO_019;3503;STO_036
STO_019;259;STO_037
STO_019;1892;STO_038
STO_019;1177;STO_039
STO_019;2384;STO_040
STO_019;3111;STO_041
STO_019;401;STO_042
STO_019;2718;STO_043
STO_019;1035;STO_044
STO_019;1199;STO_045
STO_019;2255;STO_046
STO_019;748;STO_047
STO_019;272;STO_048
STO_020;2493;HUB_001
STO_020;1842;STO_002
STO_020;3165;STO_003
STO_020;160;STO_004
STO_020;817;STO_005
STO_020;875;STO_006
STO_020;1004;STO_007
STO_020;2532;STO_008
STO_020;1302;STO_009
STO_020;836;STO_010
STO_020;2236;STO_011
STO_020;595;STO_012
STO_020;1479;STO_013
STO_020;2558;STO_014
STO_020;3364;STO_015
STO_020;864;STO_016
STO_020;2149;STO_017
STO_020;1591;STO_018
STO_020;1067;STO_019
STO_020;0;STO_020
STO_020;878;STO_021
STO_020;605;STO_022
STO_020;1571;STO_023
STO_020;2009;STO_024
STO_020;1069;STO_025
STO_020;2715;STO_026
STO_020;552;STO_027
STO_020;2744;STO_028
STO_020;2944;STO_029
STO_020;2727;STO_030
STO_020;774;STO_031
STO_020;2305;STO_032
STO_020;873;STO_033
STO_020;313;STO_034
STO_020;912;STO_035
STO_020;2888;STO_036
STO_020;811;STO_037
STO_020;2401;STO_038
STO_020;126;STO_039
STO_020;2036;STO_040
STO_020;2711;STO_041
STO_020;687;STO_042
STO_020;2605;STO_043
STO_020;515;STO_044
STO_020;384;STO_045
STO_020;2582;STO_046
STO_020;1406;STO_047
STO_020;794;STO_048
STO_021;1834;HUB_001
STO_021;967;STO_002
STO_021;2586;STO_003
STO_021;718;STO_004
STO_021;1235;STO_005
STO_021;560;STO_006
STO_021;1137;STO_007
STO_021;1687;STO_008
STO_021;453;STO_009
STO_021;1568;STO_010
STO_021;2751;STO_011
STO_021;1466;STO_012
STO_021;1959;STO_013
STO_021;2891;STO_014
STO_021;2722;STO_015
STO_021;264;STO_016
STO_021;1805;STO_017
STO_021;1010;STO_018
STO_021;770;STO_019
STO_021;878;STO_020
STO_021;0;STO_021
STO_021;658;STO_022
STO_021;1812;STO_023
STO_021;1192;STO_024
STO_021;1841;STO_025
STO_021;2564;STO_026
STO_021;1316;STO_027
STO_021;2085;STO_028
STO_021;3304;STO_029
STO_021;2663;STO_030
STO_021;1317;STO_031
STO_021;1440;STO_032
STO_021;1302;STO_033
STO_021;569;STO_034
STO_021;386;STO_035
STO_021;2739;STO_036
STO_021;693;STO_037
STO_021;1526;STO_038
STO_021;916;STO_039
STO_021;1616;STO_040
STO_021;2343;STO_041
STO_021;525;STO_042
STO_021;2000;STO_043
STO_021;1208;STO_044
STO_021;731;STO_045
STO_021;1748;STO_046
STO_021;592;STO_047
STO_021;663;STO_048
STO_022;2489;HUB_001
STO_022;1477;STO_002
STO_022;3232;STO_003
STO_022;522;STO_004
STO_022;1346;STO_005
STO_022;1026;STO_006
STO_022;1423;STO_007
STO_022;2072;STO_008
STO_022;1098;STO_009
STO_022;1441;STO_010
STO_022;2826;STO_011
STO_022;1039;STO_012
STO_022;2053;STO_013
STO_022;3105;STO_014
STO_022;3378;STO_015
STO_022;465;STO_016
STO_022;2370;STO_017
STO_022;1639;STO_018
STO_022;464;STO_019
STO_022;605;STO_020
STO_022;658;STO_021
STO_022;0;STO_022
STO_022;2068;STO_023
STO_022;1531;STO_024
STO_022;1258;STO_025
STO_022;3057;STO_026
STO_022;1158;STO_027
STO_022;2741;STO_028
STO_022;3502;STO_029
STO_022;3113;STO_030
STO_022;675;STO_031
STO_022;1888;STO_032
STO_022;1410;STO_033
STO_022;501;STO_034
STO_022;939;STO_035
STO_022;3233;STO_036
STO_022;206;STO_037
STO_022;2089;STO_038
STO_022;719;STO_039
STO_022;2206;STO_040
STO_022;2926;STO_041
STO_022;155;STO_042
STO_022;2648;STO_043
STO_022;642;STO_044
STO_022;790;STO_045
STO_022;2375;STO_046
STO_022;971;STO_047
STO_022;191;STO_048
STO_023;2094;HUB_001
STO_023;2511;STO_002
STO_023;2426;STO_003
STO_023;1571;STO_004
STO_023;756;STO_005
STO_023;1266;STO_006
STO_023;676;STO_007
STO_023;3280;STO_008
STO_023;1902;STO_009
STO_023;1092;STO_010
STO_023;1082;STO_011
STO_023;1780;STO_012
STO_023;508;STO_013
STO_023;1079;STO_014
STO_023;2730;STO_015
STO_023;2017;STO_016
STO_023;1252;STO_017
STO_023;1476;STO_018
STO_023;2456;STO_019
STO_023;1571;STO_020
STO_023;1812;STO_021
STO_023;2068;STO_022
STO_023;0;STO_023
STO_023;2895;STO_024
STO_023;2377;STO_025
