"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_474";"Mo-Sa";"01:00";"00:00"
"STO_475";"Mo-Sa";"01:00";"00:00"
"STO_476";"Mo-Sa";"01:00";"00:00"
"STO_477";"Mo-Sa";"01:00";"00:00"
"STO_478";"Mo-Sa";"01:00";"00:00"
"STO_479";"Mo-Sa";"01:00";"00:00"
"STO_480";"Mo-Sa";"06:00";"22:00"
"STO_481";"Mo-Sa";"06:00";"22:00"
"STO_482";"Mo-Sa";"06:00";"22:00"
"STO_483";"Mo-Sa";"06:00";"22:00"
"STO_484";"Mo-Sa";"06:00";"22:00"
"STO_485";"Mo-Sa";"06:00";"22:00"
"STO_486";"Mo-Sa";"06:00";"22:00"
"STO_487";"Mo-Sa";"01:00";"00:00"
"STO_488";"Mo-Sa";"01:00";"00:00"
"STO_489";"Mo-Sa";"06:00";"22:00"
"STO_490";"Mo-Sa";"01:00";"00:00"
"STO_491";"Mo-Sa";"01:00";"00:00"
"STO_492";"Mo-Sa";"06:00";"22:00"
"STO_493";"Mo-Sa";"06:00";"22:00"
"STO_494";"Mo-Sa";"06:00";"22:00"
"STO_495";"Mo-Sa";"01:00";"00:00"
"STO_496";"Mo-Sa";"01:00";"00:00"
"STO_497";"Mo-Sa";"01:00";"00:00"
"STO_498";"Mo-Sa";"01:00";"00:00"
"STO_499";"Mo-Sa";"01:00";"00:00"
"STO_500";"Mo-Sa";"01:00";"00:00"
"STO_501";"Mo-Sa";"01:00";"00:00"
"STO_502";"Mo-Sa";"01:00";"00:00"
"STO_503";"Mo-Sa";"01:00";"00:00"
"STO_504";"Mo-Sa";"01:00";"00:00"
"STO_505";"Mo-Sa";"06:00";"22:00"
"STO_506";"Mo-Sa";"01:00";"00:00"
"STO_507";"Mo-Sa";"06:00";"22:00"
"STO_508";"Mo-Sa";"01:00";"00:00"
"STO_509";"Mo-Sa";"01:00";"00:00"
"STO_510";"Mo-Sa";"06:00";"22:00"
"STO_511";"Mo-Sa";"01:00";"00:00"
"STO_512";"Mo-Sa";"06:00";"22:00"
"STO_513";"Mo-Sa";"01:00";"00:00"
"STO_514";"Mo-Sa";"06:00";"22:00"
"STO_515";"Mo-Sa";"01:00";"00:00"
"STO_516";"Mo-Sa";"06:00";"22:00"
"STO_517";"Mo-Sa";"06:00";"22:00"
"STO_518";"Mo-Sa";"06:00";"22:00"
"STO_519";"Mo-Sa";"01:00";"00:00"
"STO_520";"Mo-Sa";"06:00";"22:00"
"STO_521";"Mo-Sa";"06:00";"22:00"
"STO_522";"Mo-Sa";"01:00";"00:00"
"STO_523";"Mo-Sa";"06:00";"22:00"
"STO_524";"Mo-Sa";"01:00";"00:00"
"STO_525";"Mo-Sa";"01:00";"00:00"
"STO_526";"Mo-Sa";"01:00";"00:00"
"STO_527";"Mo-Sa";"06:00";"22:00"
"STO_528";"Mo-Sa";"01:00";"00:00"
"STO_529";"Mo-Sa";"01:00";"00:00"
"STO_530";"Mo-Sa";"06:00";"22:00"
"STO_531";"Mo-Sa";"01:00";"00:00"
